Planting 2024 Bell Road,,,,,,,,,,DVC-1/DET-36/DDI-01AB,DVC-1/DET-36/DDI-EA62,DVC-1/DET-36/DDI-EA63,DVC-1/DET-36/DDI-EA64,DVC-1/DET-37/DDI-0043,DVC-1/DET-37/DDI-0087,DVC-1/DET-37/DDI-000C,DVC-1/DET-37/DDI-019F,DVC-1/DET-37/DDI-01A1,DVC-1/DET-37/DDI-01A3,DVC-1/DET-37/DDI-EA60,DVC-1/DET-37/DDI-EA6F,DVC-1/DET-37/DDI-01AB,DVC-1/DET-37/DDI-EA62,DVC-1/DET-37/DDI-EA63,DVC-1/DET-37/DDI-EA64,DVC-1/DET-38/DDI-0043,DVC-1/DET-38/DDI-0087,DVC-1/DET-38/DDI-000C,DVC-1/DET-38/DDI-019F,DVC-1/DET-38/DDI-01A1,DVC-1/DET-38/DDI-01A3,DVC-1/DET-38/DDI-EA60,DVC-1/DET-38/DDI-EA6F,DVC-1/DET-38/DDI-01AB,DVC-1/DET-38/DDI-EA62,DVC-1/DET-38/DDI-EA63,DVC-1/DET-38/DDI-EA64,DVC-1/DET-39/DDI-0043,DVC-1/DET-39/DDI-0087,DVC-1/DET-39/DDI-000C,DVC-1/DET-39/DDI-019F,DVC-1/DET-39/DDI-01A1,DVC-1/DET-39/DDI-01A3,DVC-1/DET-39/DDI-EA60,DVC-1/DET-39/DDI-EA6F,DVC-1/DET-39/DDI-01AB,DVC-1/DET-39/DDI-EA62,DVC-1/DET-39/DDI-EA63,DVC-1/DET-39/DDI-EA64,DVC-1/DET-40/DDI-0043,DVC-1/DET-40/DDI-0087,DVC-1/DET-40/DDI-000C,DVC-1/DET-40/DDI-019F,DVC-1/DET-40/DDI-01A1,DVC-1/DET-40/DDI-01A3,DVC-1/DET-40/DDI-EA60,DVC-1/DET-40/DDI-EA6F,DVC-1/DET-40/DDI-01AB,DVC-1/DET-40/DDI-EA62,DVC-1/DET-40/DDI-EA63,DVC-1/DET-40/DDI-EA64,DVC-1/DET-41/DDI-0043,DVC-1/DET-41/DDI-0087,DVC-1/DET-41/DDI-000C,DVC-1/DET-41/DDI-019F,DVC-1/DET-41/DDI-01A1,DVC-1/DET-41/DDI-01A3,DVC-1/DET-41/DDI-EA60,DVC-1/DET-41/DDI-EA6F,DVC-1/DET-41/DDI-01AB,DVC-1/DET-41/DDI-EA62,DVC-1/DET-41/DDI-EA63,DVC-1/DET-41/DDI-EA64,DVC-1/DET-42/DDI-0043,DVC-1/DET-42/DDI-0087,DVC-1/DET-42/DDI-000C,DVC-1/DET-42/DDI-019F,DVC-1/DET-42/DDI-01A1,DVC-1/DET-42/DDI-01A3,DVC-1/DET-42/DDI-EA60,DVC-1/DET-42/DDI-EA6F,DVC-1/DET-42/DDI-01AB,DVC-1/DET-42/DDI-EA62,DVC-1/DET-42/DDI-EA63,DVC-1/DET-42/DDI-EA64,DVC-1/DET-43/DDI-0043,DVC-1/DET-43/DDI-0087,DVC-1/DET-43/DDI-000C,DVC-1/DET-43/DDI-019F,DVC-1/DET-43/DDI-01A1,DVC-1/DET-43/DDI-01A3,DVC-1/DET-43/DDI-EA60,DVC-1/DET-43/DDI-EA6F,DVC-1/DET-43/DDI-01AB,DVC-1/DET-43/DDI-EA62,DVC-1/DET-43/DDI-EA63,DVC-1/DET-43/DDI-EA64,DVC-1/DET-3/DDI-0086,DVC-1/DET-4/DDI-0086,DVC-1/DET-9/DDI-0086,DVC-1/DET-10/DDI-0086,DVC-1/DET-11/DDI-0086,DVC-1/DET-12/DDI-0086,DVC-1/DET-13/DDI-0086,DVC-1/DET-14/DDI-0086,DVC-1/DET-15/DDI-0086,DVC-1/DET-16/DDI-0086,DVC-1/DET-17/DDI-0086,DVC-1/DET-18/DDI-0086,DVC-1/DET-19/DDI-0086,DVC-1/DET-20/DDI-0086,DVC-1/DET-21/DDI-0086,DVC-1/DET-22/DDI-0086,DVC-1/DET-23/DDI-0086,DVC-1/DET-24/DDI-0086,DVC-1/DET-25/DDI-0086,DVC-1/DET-26/DDI-0086,DVC-1/DET-27/DDI-0086,DVC-1/DET-5/DDI-0087,DVC-1/DET-6/DDI-0087,DVC-1/DET-9/DDI-0087,DVC-1/DET-12/DDI-0087,DVC-1/DET-13/DDI-0087,DVC-1/DET-14/DDI-0087,DVC-1/DET-15/DDI-0087,DVC-1/DET-16/DDI-0087,DVC-1/DET-17/DDI-0087,DVC-1/DET-18/DDI-0087,DVC-1/DET-19/DDI-0087,DVC-1/DET-28/DDI-0087,DVC-1/DET-29/DDI-0087,DVC-1/DET-30/DDI-0087,DVC-1/DET-31/DDI-0087,DVC-1/DET-32/DDI-0087,DVC-1/DET-33/DDI-0087,DVC-1/DET-34/DDI-0087,DVC-1/DET-35/DDI-0087,DVC-1/DET-44/DDI-0087,DVC-1/DET-45/DDI-0087,DVC-1/DET-46/DDI-0087,DVC-1/DET-47/DDI-0087,DVC-1/DET-48/DDI-0087,DVC-1/DET-49/DDI-0087,DVC-1/DET-50/DDI-0087,DVC-1/DET-51/DDI-0087,DVC-1/DET-3/DDI-008F,DVC-1/DET-2/DDI-009D,DVC-2000000/DET-2000002/DDI-F23E,DVC-1/DET-4/DDI-016F,DVC-2000000/DET-2000002/DDI-0046,DVC-2000000/DET-2000001/DDI-0086,DVC-2000000/DET-2000001/DDI-0087,DVC-2000000/DET-2000000/DDI-008D,DVC-2000000/DET-2000001/DDI-009D,DVC-1/DET-3/DDI-0052,DVC-1/DET-3/DDI-0074,DVC-1/DET-4/DDI-0050,DVC-1/DET-4/DDI-0074,DVC-1/DET-1/DDI-0077,DVC-1/DET-3/DDI-0077,DVC-1/DET-4/DDI-0077,DVC-2000000/DET-2000002/DDI-F243,DVC-2000000/DET-2000002/DDI-F231,DVC-2000000/DET-2000002/DDI-0096,
 2024-04-16 13:27:07.287,40.6547664,-89.359189,235.636,0.9,1.7,36, 18:27:07.200Z, 2024-04-16,40,,,990000,,,,7068,,116200,0,262300,133,,1000000,650000,,,,7373,,,,223600,978,,1000000,910000,,,,7592,,,,246800,-311,,,860000,,,,7226,,,,222600,-667,,,860000,,,,7182,,,,216000,266,,,970000,,,,4859,645700,354300,,223000,177,,1000000,670000,,,,7388,,,,227000,-222,,960000,510000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,252933,324,
 2024-04-16 13:27:08.292,40.6547929,-89.359189,235.615,0.9,1.7,36, 18:27:08.250Z, 2024-04-16,43,502,,950000,,,,7020,,,,262500,44,507,,750000,,,,7356,,,,223600,934,324,,930000,,,,7629,,,,247700,,462,,960000,,,,7202,,,,222900,-622,475,960000,840000,,,,7178,,,,216300,222,449,,900000,,,,4843,656700,343300,,223100,-44,649,,970000,,,,7380,,,,227000,-177,533,1000000,860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,255717,320,
 2024-04-16 13:27:09.299,40.6548206,-89.3591887,235.571,0.9,1.7,36, 18:27:09.250Z, 2024-04-16,36,,920000,890000,,,,6950,,102900,,263000,88,,,860000,948300,,,7371,,,,223900,711,,,740000,,,,7633,,,,246000,,,920000,,,,,7174,,,,224100,-667,,1000000,890000,,,,7155,,,,215800,,,,890000,,,,4799,,,,223300,177,,920000,810000,,,,7371,,,,227900,-133,,,520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,-1,,,,,,,,,,,,,,244091,336,
 2024-04-16 13:27:10.339,40.654851,-89.3591888,235.544,0.9,1.7,36, 18:27:10.250Z, 2024-04-16,38,,,550000,,,,6887,,,,263400,355,,,660000,,,,7355,,,,223700,756,,,720000,,,,7674,923400,,60000,247200,-266,,960000,760000,,,,7234,,,,225300,-578,,,960000,,,,7118,966900,29800,,216000,800,,880000,870000,,,,4801,,,,222700,355,,1000000,750000,,,,7397,,,,228300,44,,,750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239328,342,
 2024-04-16 13:27:11.343,40.6548789,-89.3591887,235.493,0.9,1.7,36, 18:27:11.250Z, 2024-04-16,48,502,960000,890000,,,,6862,881200,115500,,264400,222,507,,720000,,,,7370,,,,223700,622,324,,980000,946300,,,7671,,,,248500,-311,462,1000000,610000,938900,,,7270,,,,225800,-622,475,,830000,,,,7125,,,,216400,,449,1000000,910000,,,,4813,,,,223100,-88,649,,1000000,979700,,,7403,976700,,,228900,-177,533,,610000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,235894,347,
 2024-04-16 13:27:12.347,40.6549066,-89.3591887,235.458,0.9,1.7,36, 18:27:12.250Z, 2024-04-16,47,644,1000000,1000000,,,,6726,,,,263700,800,378,920000,850000,,,,7373,,,,224300,756,644,,960000,,,,7683,,,,249300,-266,449,,790000,,,,7272,,,,225100,-667,587,,880000,,,,7135,,,,216200,845,480,,980000,962300,,,4821,642400,357600,,222900,-222,507,920000,760000,,,,7426,,,,228600,0,431,,950000,949300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,249739,328,
 2024-04-16 13:27:13.351,40.654936,-89.3591889,235.413,0.9,1.7,36, 18:27:13.150Z, 2024-04-16,38,,,880000,,,,6710,870500,126200,,262700,978,,1000000,980000,,,,7365,,,,224600,400,,,970000,956300,,,7683,934000,,49500,249900,-355,,,920000,,,,7265,,,,224500,-756,,,990000,,,,7114,,,,216700,756,,,970000,,,,4836,,,,223200,-133,,1000000,1000000,,,,7423,,,,228900,-88,,,860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248152,330,
 2024-04-16 13:27:14.355,40.6549637,-89.3591892,235.37,0.9,1.7,36, 18:27:14.300Z, 2024-04-16,40,,,1000000,,,,6646,,,,262100,1023,,,970000,,,,7382,,,,223400,355,,920000,960000,,,,7681,,,,250700,-400,,,870000,,,,7261,,,,225500,-711,,880000,530000,,,,7094,,,3300,216200,711,,,980000,972600,,,4858,654500,345500,,223000,88,,840000,460000,,,,7404,,,,228100,-444,,,790000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2,260205,315,
 2024-04-16 13:27:15.360,40.6549897,-89.3591892,235.386,0.9,1.7,36, 18:27:15.250Z, 2024-04-16,39,,,960000,,,,6593,,,,261700,1067,,,870000,,,,7391,,6600,10000,222800,,,880000,810000,,,,7627,,,,249600,,,,900000,,,,7251,,,,225500,-533,,960000,820000,,,,7074,,,,216300,667,,,740000,,,,4816,643400,356600,0,222700,222,,920000,,,,,7396,,,,228100,44,,920000,480000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,0,230946,355,
 2024-04-16 13:27:16.365,40.6550176,-89.3591888,235.364,0.9,1.7,36, 18:27:16.250Z, 2024-04-16,50,422,,850000,959000,,,6607,,,,261700,978,391,,800000,936300,,,7402,,,,223500,311,591,1000000,850000,,,,7643,,,,249000,,502,,910000,,,,7265,,,,224700,-622,604,920000,1000000,,,,7085,956900,39800,,216900,444,564,,780000,962000,,,4836,653500,346500,,223200,133,636,840000,450000,,,,7415,,,16500,228400,88,578,840000,680000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234356,349,
 2024-04-16 13:27:17.368,40.6550454,-89.3591888,235.347,0.9,1.7,36, 18:27:17.250Z, 2024-04-16,39,,,910000,,,,6639,887100,109600,,261100,934,,,770000,,,,7376,,,,223700,133,,,930000,,,,7619,,,36500,248400,-222,,840000,410000,,,,7256,,,,224600,-667,,1000000,920000,,,,7106,,,,217800,133,,,580000,,,,4812,,,,223500,-44,,1000000,620000,,,,7397,,,,227600,-88,,1000000,460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,244623,335,
 2024-04-16 13:27:18.370,40.6550733,-89.3591888,235.323,0.9,1.7,36, 18:27:18.250Z, 2024-04-16,34,,,,,,,6627,,,,261200,533,,,970000,,,,7391,,,,223500,,,880000,1000000,966600,,,7702,,,49800,,-266,,1000000,830000,,,,7251,,,,224200,-578,,760000,970000,962300,,,7099,,,,218100,-44,,,500000,,,,4805,,,,222800,,,,940000,,,,7424,,,,227500,-177,,,880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,247416,331,
 2024-04-16 13:27:19.372,40.6551011,-89.359189,235.278,0.9,1.7,36, 18:27:19.250Z, 2024-04-16,41,,880000,690000,969000,,,6602,,,,261200,355,,,940000,,,,7382,993400,,,223100,44,,1000000,830000,,,,7643,,,,248700,-533,,960000,730000,949100,,,7265,,,,224600,-667,,800000,850000,,,,7098,,,,219300,-177,,840000,700000,,,,4776,,,,224100,-133,,760000,420000,,,,7405,,,,228100,-400,,,520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,270168,303,
 2024-04-16 13:27:20.377,40.655129,-89.359189,235.231,0.9,1.7,36, 18:27:20.250Z, 2024-04-16,50,560,1000000,940000,,,,6565,873800,122900,,260800,133,609,880000,850000,,,,7401,,,,223100,0,524,960000,760000,976600,,,7670,,,,247600,-400,,1000000,980000,,,,7267,,,,223700,-578,,1000000,1000000,,,,7144,,,,219800,,693,880000,470000,,,,4727,,,,224600,-266,582,880000,380000,969300,,,7418,,,,227900,44,413,920000,890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,1,258203,317,
 2024-04-16 13:27:21.382,40.655157,-89.3591889,235.182,0.9,1.7,36, 18:27:21.250Z, 2024-04-16,51,560,,900000,,,,6544,863400,133300,,260700,177,609,1000000,840000,,,,7386,,,,223500,-88,524,1000000,860000,,,,7692,,,,246900,-311,502,880000,730000,,,,7286,,,,224000,,604,,870000,972600,,,7156,,,,220600,-355,693,1000000,880000,,,,4806,642400,357600,,224700,-177,582,760000,300000,,,,7426,,,,228100,-88,413,1000000,840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,0,268848,305,
 2024-04-16 13:27:22.386,40.6551837,-89.3591892,235.129,0.9,1.7,36, 18:27:22.250Z, 2024-04-16,40,,,1000000,,,,6525,877100,119600,,260400,44,,,910000,,,,7405,,,,224500,-177,,880000,420000,966400,,,7674,,,,246800,-444,,1000000,880000,,,,7318,,23100,6500,223900,-756,,920000,910000,,,,7158,,,,221000,-400,,,720000,,,,4791,,,,225100,-88,,920000,730000,,,,7415,,,,228200,-222,,,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321420,255,
 2024-04-16 13:27:23.387,40.65521,-89.3591892,235.068,0.9,1.7,36, 18:27:23.250Z, 2024-04-16,47,502,,870000,958400,,,6521,,,,259700,,418,,830000,,,,7408,983400,,,224300,-88,542,,900000,,,,7695,923400,,,246900,-177,498,840000,730000,,,,7323,970300,,,224200,-533,,1000000,820000,962500,,,7114,940200,59800,,220300,0,,840000,830000,,,,4779,,,,224800,355,,1000000,790000,,,,7417,,,,227800,0,,920000,740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,288449,284,
 2024-04-16 13:27:24.391,40.6552354,-89.3591892,235.05,0.9,1.7,36, 18:27:24.250Z, 2024-04-16,45,,,970000,,,,6500,864300,132400,,260300,133,,,760000,,,,7401,,,,225200,-44,,960000,700000,,,,7698,,,,248000,-355,,1000000,850000,938900,,,7298,,,,224700,-756,520,,610000,,,,7094,,,,220900,44,453,1000000,690000,,,,5568,657900,342100,,223200,266,511,,860000,,,,7430,,,,227700,-88,422,,870000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,-1,,,,,,,,,,,,,,299992,273,
 2024-04-16 13:27:25.397,40.6552563,-89.3591891,234.995,0.9,1.7,36, 18:27:25.250Z, 2024-04-16,35,,,960000,,,,6481,,,,261200,44,,,800000,950300,,,7414,,,,225600,133,,1000000,840000,,,,7641,,,,248600,-177,,,930000,,,,7254,,,,,-400,,880000,550000,,,,7095,,,,221200,266,,840000,,,,,5684,,,,222900,,,,820000,,,,7408,,,,226600,222,,1000000,730000,939300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,589024,139,
 2024-04-16 13:27:26.420,40.6552767,-89.3591892,234.966,0.9,1.7,36, 18:27:26.350Z, 2024-04-16,38,502,,,,,,6512,,,,262400,,418,,,,,,7440,,,,225400,,542,,,,,,7749,,,,249000,-266,498,,890000,,,,7282,,,,225400,-578,520,1000000,660000,,,,7069,,,,,-44,453,1000000,920000,,,,5287,,,,223900,0,511,,570000,,,,7414,,9900,,226500,44,422,,750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,0,357195,229,
 2024-04-16 13:27:27.424,40.6552965,-89.3591892,234.932,0.9,1.7,36, 18:27:27.350Z, 2024-04-16,40,422,,990000,,,,6441,,,,262200,-44,564,,890000,,,,7413,,,,225200,88,435,,1000000,,,,7753,913400,,63300,247800,-133,458,,970000,,,,7271,,,,224500,-622,,840000,620000,,,,7111,,,,221200,-177,,,890000,,,,4794,,,,223400,-133,,960000,710000,,,,7426,,,,225300,133,,,980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,174543,469,
 2024-04-16 13:27:28.429,40.6553157,-89.359189,234.899,0.9,1.7,36, 18:27:28.350Z, 2024-04-16,35,,,,,,,6447,,,,260200,,,,,,,,7402,,,,223900,,,,,,,,7746,,,,247800,,,,,,,,7220,,,,223700,-711,467,1000000,980000,972500,,,7102,,,,220600,-222,502,,1000000,950700,,,4942,647900,352100,,222300,-177,538,920000,770000,,,,7420,,,,224400,44,484,,900000,949800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259946,315,
 2024-04-16 13:27:29.432,40.6553347,-89.3591889,234.867,0.9,1.7,36, 18:27:29.350Z, 2024-04-16,44,,,1000000,,,,6448,,,,259600,-44,,,520000,962100,,,7401,,,,223000,266,,,870000,,,,7769,,,,247200,-88,,,960000,948900,,,7210,960100,33300,,224500,-578,,880000,480000,,,,7100,,,,219700,-88,,,900000,,,,5152,663400,336600,,222200,-311,,1000000,930000,,,,7423,986800,,,223400,177,,920000,930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,-1,,,,,,,,,,,,,1,259203,316,
 2024-04-16 13:27:30.437,40.6553545,-89.359189,234.82,0.9,1.7,36, 18:27:30.350Z, 2024-04-16,43,,,,,,,6469,,,,258200,,,,,,,,7413,,,,221400,311,,,960000,,,,7823,,,,246100,-311,,,890000,,,,7183,,,,224000,-667,,1000000,780000,,,,7061,0,0,,0,0,,0,0,0,,,5327,0,0,,0,-355,,0,0,0,,,7419,0,,0,0,489,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,0,214777,381,
 2024-04-16 13:27:31.443,40.6553743,-89.359189,234.772,0.9,1.7,36, 18:27:31.350Z, 2024-04-16,56,529,,970000,,,,6427,,,,255900,-88,560,920000,780000,,,,7410,0,,0,0,222,489,0,0,0,,,7824,0,0,0,0,-400,578,0,0,0,,,0,0,0,,0,-756,467,0,0,0,,,0,,,,,-177,502,,,,,,0,,,,,-444,538,,,,,,0,,,,,756,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200,,48,,,,,,,804000,108589,0,0,3274,3274,0,,262574,312,
 2024-04-16 13:27:32.454,40.6553941,-89.3591891,234.729,0.9,1.7,36, 18:27:32.350Z, 2024-04-16,23,,0,0,0,,,0,0,0,,0,177,,0,0,0,,,0,,,,,489,,,,,,,0,,,,,-355,,,,,,,,,,,,,600,,,,,,,,,,,,489,,,,,,,,,,,-266,547,,,,,,,,,,,711,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250539,327,
 2024-04-16 13:27:33.477,40.6554142,-89.3591891,234.698,0.9,1.7,36, 18:27:33.350Z, 2024-04-16,11,,,,,,,,,,,,88,,,,,,,,,,,,88,,,,,,,,,,,,-266,,,,,,,,,,,,-622,,,,,,,,,,,,222,,,,,,,,,,,,-177,,,,,,,,,,,,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,0,,,,,,,,,,240480,341,
 2024-04-16 13:27:34.483,40.6554337,-89.3591892,234.676,0.9,1.7,36, 18:27:34.350Z, 2024-04-16,10,,,,,,,,,,,,,,,,,,,,,,,,489,,,,,,,,,,,,-88,,,,,,,,,,,,-578,,,,,,,,,,,,489,,,,,,,,,,,,355,,,,,,,,,,,,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,-1,,,,,,,,,,,,,,242242,338,
 2024-04-16 13:27:35.485,40.655454,-89.359189,234.632,0.9,1.7,36, 18:27:35.350Z, 2024-04-16,20,453,,,,,,,,,,,0,378,,,,,,,,,,,88,324,,,,,,,,,,,-44,471,,,,,,,,,,,-133,333,,,,,,,,,,,88,333,,,,,,,,,,,88,289,,,,,,0,,,,,177,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,2,162096,506,
 2024-04-16 13:27:36.487,40.6554744,-89.3591882,234.592,0.9,1.7,36, 18:27:36.350Z, 2024-04-16,25,453,,,,,,0,,,,,,378,,,,,,0,,,,,0,324,,,,,,0,,,,,0,471,,,,,,0,,,,,0,333,,,,,,0,,,,,0,333,,,,,,0,,,,,0,289,,,,,,0,,,,,0,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,0,212806,385,
 2024-04-16 13:27:37.494,40.6554966,-89.3591852,234.538,0.9,1.7,36, 18:27:37.350Z, 2024-04-16,5,,,,,,,0,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230201,356,
 2024-04-16 13:27:38.498,40.6555163,-89.3591782,234.483,0.9,1.7,36, 18:27:38.450Z, 2024-04-16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,295163,277,
 2024-04-16 13:27:39.500,40.6555356,-89.3591698,234.45,0.9,1.7,36, 18:27:39.450Z, 2024-04-16,12,0,,,,,,,,,,,,53,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,-1,,,,,,,,,,,,,,287354,285,
 2024-04-16 13:27:40.517,40.6555551,-89.3591631,234.406,0.9,1.7,36, 18:27:40.450Z, 2024-04-16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,285477,287,
 2024-04-16 13:27:41.520,40.6555751,-89.3591599,234.359,0.9,1.7,36, 18:27:41.450Z, 2024-04-16,17,0,,,,,,0,,,,,,53,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260701,314,
 2024-04-16 13:27:42.523,40.6555947,-89.3591622,234.289,0.9,1.7,36, 18:27:42.450Z, 2024-04-16,4,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303655,270,
 2024-04-16 13:27:43.525,40.6556132,-89.3591716,234.269,0.9,1.7,36, 18:27:43.450Z, 2024-04-16,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274644,298,
 2024-04-16 13:27:44.528,40.6556291,-89.3591868,234.294,0.9,1.7,36, 18:27:44.450Z, 2024-04-16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,-1,,,,,,,,,,,,,,224369,365,
 2024-04-16 13:27:45.530,40.6556407,-89.3592064,234.332,0.9,1.7,36, 18:27:45.400Z, 2024-04-16,10,4,,,,,,0,,,,,,53,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,272784,300,
 2024-04-16 13:27:46.532,40.6556481,-89.3592304,234.389,0.9,1.7,36, 18:27:46.400Z, 2024-04-16,15,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,0,271475,302,
